state_fips,state_abbrev,state_name,year,beer_tax_usd_per_gallon,policy_change_count_sunday_sales,policy_change_count_underage_purchase,fars_fatalities_total,fars_fatalities_alcohol_involved,fars_fatalities_impaired,rate_alcohol_involved_per100k,rate_impaired_per100k,unemployment_rate,pcpi_nominal,population_thousands,vmt_total_million,vmt_per_capita,beer_tax_delta,beer_tax_increase_event,rate_impaired_per100k_lag1,rate_impaired_per100k_lag2,rate_alcohol_involved_per100k_lag1,rate_alcohol_involved_per100k_lag2,beer_tax_usd_per_gallon_lag1,beer_tax_usd_per_gallon_lag2,unemployment_rate_lag1,unemployment_rate_lag2,pcpi_nominal_lag1,pcpi_nominal_lag2,vmt_per_capita_lag1,vmt_per_capita_lag2,treatment_year,event_time
20,KS,Kansas,2013,0.18,0,0,350,99,128,3.4205090961356537,4.422476407124886,5.316666666666666,45669.0,2894.306,30208.0,10437.04432081473,0.0,0,6.167654877436917,6.272482931005824,3.8461218617724593,4.216502414731693,0.18,0.18,5.683333333333334,6.3500000000000005,44913.0,42889.0,10593.120500730416,10461.45611509588,,
20,KS,Kansas,2014,0.18,0,0,385,113,151,3.894052816451236,5.203557303399439,4.5249999999999995,46289.0,2901.861,30710.0,10582.863893205085,0.0,0,4.422476407124886,6.167654877436917,3.4205090961356537,3.8461218617724593,0.18,0.18,5.316666666666666,5.683333333333334,45669.0,44913.0,10437.04432081473,10593.120500730416,,
20,KS,Kansas,2015,0.18,0,0,355,77,57,2.645396306133506,1.9582803824624653,4.175,46597.0,2910.717,31379.0,10780.50528443679,0.0,0,5.203557303399439,4.422476407124886,3.894052816451236,3.4205090961356537,0.18,0.18,4.5249999999999995,5.316666666666666,46289.0,45669.0,10582.863893205085,10437.04432081473,,
20,KS,Kansas,2016,0.18,0,0,429,94,71,3.226939313286717,2.4373690557803926,4.05,46717.0,2912.977,32103.0,11020.68433770675,0.0,0,1.9582803824624653,5.203557303399439,2.645396306133506,3.894052816451236,0.18,0.18,4.175,4.5249999999999995,46597.0,46289.0,10780.50528443679,10582.863893205085,,
20,KS,Kansas,2017,0.18,0,0,461,91,69,3.126189497927096,2.3704074215051607,3.641666666666667,48271.0,2910.892,32258.0,11081.826464190359,0.0,0,2.4373690557803926,1.9582803824624653,3.226939313286717,2.645396306133506,0.18,0.18,4.05,4.175,46717.0,46597.0,11020.68433770675,10780.50528443679,,
20,KS,Kansas,2018,0.18,0,0,405,69,30,2.3688970003584244,1.0299552175471411,3.3083333333333336,50282.0,2912.748,32190.0,11051.419484280823,0.0,0,2.3704074215051607,2.4373690557803926,3.126189497927096,3.226939313286717,0.18,0.18,3.641666666666667,4.05,48271.0,46717.0,11081.826464190359,11020.68433770675,,
20,KS,Kansas,2019,0.18,0,0,410,75,52,2.5749879404731457,1.7853249720613809,3.15,52156.0,2912.635,31843.0,10932.712131798182,0.0,0,1.0299552175471411,2.3704074215051607,2.3688970003584244,3.126189497927096,0.18,0.18,3.3083333333333336,3.641666666666667,50282.0,48271.0,11051.419484280823,11081.826464190359,,
20,KS,Kansas,2020,0.18,0,0,426,85,61,2.8929552116077617,2.0761207989185113,5.825,55100.0,2938.172,27854.0,9480.044054602658,0.0,0,1.7853249720613809,1.0299552175471411,2.5749879404731457,2.3688970003584244,0.18,0.18,3.15,3.3083333333333336,52156.0,50282.0,10932.712131798182,11051.419484280823,,
20,KS,Kansas,2021,0.18,0,0,423,107,72,3.641514352671476,2.450364798059311,3.391666666666667,59013.0,2938.338,31693.0,10786.029381235243,0.0,0,2.0761207989185113,1.7853249720613809,2.8929552116077617,2.5749879404731457,0.18,0.18,5.825,3.15,55100.0,52156.0,9480.044054602658,10932.712131798182,,
20,KS,Kansas,2022,0.18,0,0,410,105,80,3.5746822618138143,2.72356743757243,2.725,62313.0,2937.324,31334.0,10667.532761111815,0.0,0,2.450364798059311,2.0761207989185113,3.641514352671476,2.8929552116077617,0.18,0.18,3.391666666666667,5.825,59013.0,55100.0,10786.029381235243,9480.044054602658,,
20,KS,Kansas,2023,0.18,0,0,387,77,49,2.6088429612061663,1.6601727934948332,2.875,65869.0,2951.5,31828.0,10783.669320684397,0.0,0,2.72356743757243,2.450364798059311,3.5746822618138143,3.641514352671476,0.18,0.18,2.725,3.391666666666667,62313.0,59013.0,10667.532761111815,10786.029381235243,,
21,KY,Kentucky,2003,0.08,0,0,928,254,557,6.169286184442226,13.528710254859526,6.183333333333334,26661.0,4117.17,45848.48145253465,11135.92138593613,,0,,,,,,,,,,,,,,
21,KY,Kentucky,2004,0.08,0,0,964,283,584,6.825689967514059,14.085522759816998,5.516666666666667,28030.0,4146.101,47031.3770044501,11343.519370234855,0.0,0,13.528710254859526,,6.169286184442226,,0.08,,6.183333333333334,,26661.0,,11135.92138593613,,,
21,KY,Kentucky,2005,0.08,0,0,985,282,550,6.741988867589729,13.149269067994153,5.841666666666666,29104.0,4182.742,47422.23318275238,11337.594616821305,0.0,0,14.085522759816998,13.528710254859526,6.825689967514059,6.169286184442226,0.08,0.08,5.516666666666667,6.183333333333334,28030.0,26661.0,11343.519370234855,11135.92138593613,,
21,KY,Kentucky,2006,0.08,0,0,913,254,484,6.020042950873369,11.471262945758701,5.733333333333333,30476.0,4219.239,47813.86666341015,11332.343738624464,0.0,0,13.149269067994153,14.085522759816998,6.741988867589729,6.825689967514059,0.08,0.08,5.841666666666666,5.516666666666667,29104.0,28030.0,11337.594616821305,11343.519370234855,,
21,KY,Kentucky,2007,0.08,0,0,864,263,405,6.1785357199239215,9.514475158057751,5.366666666666667,31529.0,4256.672,48063.0,11291.21529683283,0.0,0,11.471262945758701,13.149269067994153,6.020042950873369,6.741988867589729,0.08,0.08,5.733333333333333,5.841666666666666,30476.0,29104.0,11332.343738624464,11337.594616821305,,
21,KY,Kentucky,2008,0.08,0,0,825,223,359,5.198283028095438,8.368536354646915,6.541666666666667,32830.0,4289.878,47534.0,11080.501590021908,0.0,0,9.514475158057751,11.471262945758701,6.1785357199239215,6.020042950873369,0.08,0.08,5.366666666666667,5.733333333333333,31529.0,30476.0,11291.21529683283,11332.343738624464,,
