state_fips,state_abbrev,state_name,year,beer_tax_usd_per_gallon,policy_change_count_sunday_sales,policy_change_count_underage_purchase,fars_fatalities_total,fars_fatalities_alcohol_involved,fars_fatalities_impaired,rate_alcohol_involved_per100k,rate_impaired_per100k,unemployment_rate,pcpi_nominal,population_thousands,vmt_total_million,vmt_per_capita
36,NY,New York,2012,0.14,0,0,1180,286,831,1.4610948750207031,4.245349094902813,8.65,52625.0,19574.362,122903.0,6278.774245617814
36,NY,New York,2013,0.14,0,0,1202,290,824,1.4775949726716262,4.19840778441869,7.816666666666666,52874.0,19626.488,124355.0,6336.080097468279
36,NY,New York,2014,0.14,0,0,1041,230,707,1.170279123273692,3.5973362615413054,6.291666666666667,54496.0,19653.431,123984.0,6308.516818259366
36,NY,New York,2015,0.14,0,0,1136,247,153,1.2565293103775432,0.7783359695860895,5.216666666666667,56608.0,19657.321,121699.0,6191.026742657354
36,NY,New York,2016,0.14,0,0,1041,196,127,0.9981467572121577,0.6467583579895104,4.875,58400.0,19636.391,122337.0,6230.116318217538
36,NY,New York,2017,0.14,0,0,1006,188,115,0.9594847852507182,0.5869188845948542,4.641666666666667,62206.0,19593.849,123477.0,6301.824618532071
36,NY,New York,2018,0.14,0,0,964,228,149,1.166592594859072,0.7623784940087796,4.1000000000000005,64229.0,19544.098,123510.0,6319.5548855721045
36,NY,New York,2019,0.14,0,0,934,201,115,1.0327218164436134,0.590860740751321,3.891666666666667,66460.0,19463.131,123986.0,6370.300852416808
36,NY,New York,2020,0.14,0,0,1045,224,136,1.1141412326211997,0.6764428912342999,9.908333333333331,70395.0,20105.171,102477.0,5097.046923898334
36,NY,New York,2021,0.14,0,0,1156,289,142,1.4560458550656994,0.7154273751533886,7.083333333333333,76040.0,19848.276,106870.0,5384.346731172017
36,NY,New York,2022,0.14,0,0,1182,280,170,1.4210495090096316,0.862780059041562,4.291666666666667,77382.0,19703.747,115382.0,5855.840516019618
36,NY,New York,2023,0.14,0,0,1114,219,137,1.1095704913426396,0.6941148735796421,4.041666666666667,81630.0,19737.367,120067.0,6083.232885115831
39,OH,Ohio,2003,0.18,0,0,1274,434,564,3.79543547287453,4.932317066131878,6.25,30471.0,11434.788,105533.64025498537,9229.173313487348
39,OH,Ohio,2004,0.18,0,3,1286,464,514,4.0516052259071165,4.488200616629866,6.2250000000000005,31588.0,11452.251,108256.4190620502,9452.850715728306
39,OH,Ohio,2005,0.18,0,0,1321,470,616,4.1000338470879285,5.373661382566307,5.8999999999999995,32419.0,11463.32,109156.08845142995,9522.205473757162
39,OH,Ohio,2006,0.18,0,0,1238,462,547,4.023965063621762,4.764304956279445,5.433333333333334,33976.0,11481.213,110057.54702868585,9585.881476868852
39,OH,Ohio,2007,0.18,0,0,1255,470,544,4.086790207146353,4.730242282314076,5.6000000000000005,35371.0,11500.468,110631.0,9619.695476740599
39,OH,Ohio,2008,0.18,0,0,1191,420,542,3.6472925669653766,4.7067442173696055,6.6000000000000005,36654.0,11515.391,108302.0,9404.978085416293
39,OH,Ohio,2009,0.18,0,0,1022,387,467,3.356782817712988,4.050691410521875,10.216666666666669,35593.0,11528.896,110591.0,9592.505648415945
39,OH,Ohio,2010,0.18,0,0,1080,401,491,3.4750359397576087,4.25496919306979,9.991666666666667,36580.0,11539.449,111836.0,9691.623924157904
39,OH,Ohio,2011,0.18,0,0,1017,348,501,3.0141000118225474,4.339264672192805,8.758333333333333,38927.0,11545.735,111990.0,9699.685641494456
39,OH,Ohio,2012,0.18,0,0,1121,412,675,3.56679970887296,5.843664571575845,7.391666666666667,40279.0,11550.971,112715.0,9758.054106446982
39,OH,Ohio,2013,0.18,0,0,989,323,561,2.7893660729490906,4.844688442490526,7.383333333333333,40752.0,11579.692,112767.0,9738.34191790248
39,OH,Ohio,2014,0.18,0,0,1006,362,483,3.1189223554618577,4.161435076486401,5.816666666666666,42277.0,11606.573,112766.0,9715.70161149204
39,OH,Ohio,2015,0.18,0,0,1110,357,248,3.0716772002823878,2.133826178347429,4.958333333333333,43799.0,11622.315,113673.0,9780.58157948739
39,OH,Ohio,2016,0.18,0,0,1132,385,275,3.307543088265868,2.3625307773327626,5.058333333333334,44574.0,11640.06,118608.0,10189.63819774125
39,OH,Ohio,2017,0.18,0,0,1179,368,267,3.1545454685725836,2.288759891600217,4.933333333333334,46114.0,11665.706,119598.0,10252.101330172387
39,OH,Ohio,2018,0.18,0,0,1068,326,238,2.7908827510775716,2.037515628087307,4.4750000000000005,47821.0,11680.892,,
39,OH,Ohio,2019,0.18,0,0,1153,380,271,3.2488331772895958,2.316931029067054,4.125,49395.0,11696.507,114694.0,9805.833485159288
39,OH,Ohio,2020,0.18,0,0,1230,421,304,3.5681277203265895,2.5765102778605304,8.258333333333333,52839.0,11798.905,103115.0,8739.370305973309
