state_abbrev,year,vmt_total_million
OH,2007,110631.0
OH,2008,108302.0
OH,2009,110591.0
OH,2010,111836.0
OH,2011,111990.0
OH,2012,112715.0
OH,2013,112767.0
OH,2014,112766.0
OH,2015,113673.0
OH,2016,118608.0
OH,2017,119598.0
OH,2019,114694.0
OH,2020,103115.0
OH,2021,112923.0
OH,2022,110578.0
OH,2023,113224.0
OK,2003,45380.10443917314
OK,2004,46550.91581581882
OK,2005,46937.77910180172
OK,2006,47325.41174940698
OK,2007,47572.0
OK,2008,48499.0
OK,2009,46997.0
OK,2010,47746.0
OK,2011,47464.0
OK,2012,47872.0
OK,2013,47999.0
OK,2014,47699.0
OK,2015,47713.0
OK,2016,49013.0
OK,2017,49402.0
OK,2018,45433.0
OK,2019,44648.0
OK,2020,42000.0
OK,2021,44760.0
OK,2022,44566.0
OK,2023,45760.0
OR,2003,33148.88231020908
OR,2004,34004.126893965025
OR,2005,34286.719578483346
OR,2006,34569.87425989852
OR,2007,34750.0
OR,2008,33468.0
OR,2009,33972.0
OR,2010,33774.0
OR,2011,33373.0
OR,2012,33173.0
OR,2013,33706.0
OR,2014,34610.0
OR,2015,35999.0
OR,2016,36719.0
OR,2017,36753.0
OR,2018,36848.0
OR,2019,35808.0
OR,2020,32298.0
OR,2021,36842.0
OR,2022,36576.0
OR,2023,36816.0
PA,2003,103690.65779100482
PA,2004,106365.88746034831
PA,2005,107249.84550968523
PA,2006,108135.56150148805
PA,2007,108699.0
PA,2008,107848.0
PA,2010,100329.0
PA,2011,99204.0
PA,2012,98884.0
PA,2013,98628.0
PA,2014,99882.0
PA,2015,100945.0
PA,2016,101362.0
PA,2017,101614.0
PA,2018,102109.0
PA,2019,102864.0
PA,2020,87982.0
PA,2021,102686.0
PA,2022,99912.0
PA,2023,100126.0
RI,2003,8238.093457006205
RI,2004,8450.637118166387
RI,2005,8520.86648287143
RI,2006,8591.235513913198
RI,2007,8636.0
RI,2008,8187.0
RI,2009,8250.0
RI,2010,8280.0
RI,2011,7901.0
RI,2012,7807.0
RI,2013,7775.0
RI,2014,7677.0
RI,2015,7833.0
RI,2016,7927.0
RI,2017,8001.0
RI,2018,8009.0
RI,2019,7581.0
RI,2020,6864.0
RI,2021,7526.0
RI,2022,7531.0
RI,2023,7564.0
SC,2003,48754.13599978349
SC,2004,50011.997738810314
SC,2005,50427.624487387206
SC,2006,50844.07779997564
SC,2007,51109.0
SC,2008,49597.0
SC,2009,49130.0
SC,2010,49124.0
SC,2011,48730.0
SC,2012,49036.0
SC,2013,48986.0
SC,2014,49931.0
SC,2015,51726.0
SC,2016,54553.0
SC,2017,55497.0
SC,2018,56801.0
SC,2019,57939.0
SC,2020,53972.0
SC,2021,57492.0
SC,2022,58988.0
SC,2023,60794.0
SD,2003,8590.091660530441
SD,2004,8811.716911659138
SD,2005,8884.947044726405
SD,2006,8958.322811809674
SD,2007,9005.0
SD,2008,8986.0
SD,2009,8838.0
SD,2010,8866.0
SD,2011,9002.0
SD,2012,9113.0
SD,2013,9122.0
SD,2014,9225.0
SD,2015,9324.0
SD,2016,9507.0
SD,2017,9643.0
SD,2018,9719.0
SD,2019,9922.0
SD,2020,9743.0
SD,2021,9994.0
SD,2022,10170.0
SD,2023,10345.0
TN,2003,67899.40414268698
TN,2004,69651.21577512335
TN,2005,70230.0550468163
TN,2006,70810.04546605228
TN,2007,71179.0
TN,2008,69469.0
TN,2009,70226.0
TN,2010,70439.0
TN,2011,70751.0
TN,2012,71167.0
TN,2013,71067.0
TN,2014,72336.0
TN,2015,76670.0
TN,2016,76884.0
TN,2017,82253.0
TN,2018,81321.0
TN,2019,82892.0
TN,2020,76392.0
TN,2021,82596.0
TN,2022,83219.0
TN,2023,83405.0
TX,2003,232226.2836329275
TX,2004,238217.7457107202
TX,2005,240197.46400992005
TX,2006,242181.11940870434
TX,2007,243443.0
TX,2009,229984.0
TX,2010,234016.0
TX,2011,237440.0
TX,2012,237836.0
TX,2013,244525.0
TX,2015,258122.0
TX,2016,271263.0
TX,2017,272981.0
TX,2018,282037.0
TX,2019,288227.0
TX,2020,260582.0
TX,2021,285028.0
TX,2022,290890.0
TX,2023,300338.0
UT,2003,25595.7067668354
UT,2004,26256.078642269626
UT,2005,26474.28085553569
UT,2006,26692.917011268983
UT,2007,26832.0
UT,2008,25974.0
UT,2009,26264.0
UT,2010,26585.0
UT,2011,26222.0
UT,2012,26528.0
UT,2013,27005.0
UT,2014,27554.0
UT,2015,29604.0
UT,2016,31449.0
UT,2017,31475.0
UT,2018,32069.0
UT,2019,32911.0
UT,2020,30251.0
UT,2021,33638.0
UT,2022,34336.0
UT,2023,34584.0
VA,2003,78295.27520503687
VA,2004,80315.30138348107
VA,2005,80982.7649739044
VA,2006,81651.55596056665
VA,2007,82077.0
VA,2008,82278.0
VA,2009,80927.0
VA,2010,82171.0
VA,2011,80974.0
VA,2012,80959.0
VA,2013,80767.0
VA,2014,80985.0
VA,2015,82625.0
VA,2016,84463.0
VA,2017,85263.0
VA,2018,85336.0
VA,2019,85432.0
VA,2020,76110.0
VA,2021,80102.0
VA,2022,82083.0
VA,2023,87730.0
VT,2003,7339.4964171150705
VT,2004,7528.85618193286
VT,2005,7591.425048542472
VT,2006,7654.118346925446
VT,2007,7694.0
VT,2008,7312.0
VT,2009,7646.0
VT,2010,7248.0
VT,2011,7141.0
VT,2012,7216.0
VT,2013,7116.0
VT,2014,7059.0
VT,2015,7314.0
VT,2016,7382.0
VT,2017,7424.0
VT,2018,7346.0
VT,2019,7346.0
VT,2020,6007.0
VT,2021,6625.0
VT,2022,7128.0
VT,2023,7172.0
WA,2003,54315.51683053223
WA,2004,55716.862768790634
WA,2005,56179.900031057936
WA,2006,56643.858143434874
WA,2007,56939.0
WA,2008,55558.0
WA,2009,56417.0
WA,2010,57190.0
WA,2011,56955.0
WA,2012,56762.0
WA,2013,57211.0
WA,2014,58060.0
WA,2015,59653.0
WA,2016,61018.0
WA,2017,61420.0
WA,2018,62367.0
WA,2019,62530.0
WA,2020,53658.0
WA,2021,57797.0
WA,2022,58483.0
WA,2023,59804.0
WI,2003,56751.840439748754
WI,2004,58216.04377849385
WI,2005,58699.8505865528
WI,2006,59184.61954947173
WI,2007,59493.0
WI,2008,57462.0
WI,2009,58157.0
WI,2010,59420.0
WI,2011,58554.0
WI,2012,59087.0
WI,2013,59486.0
WI,2014,60053.0
WI,2015,62073.0
WI,2016,64046.0
WI,2017,65324.0
WI,2018,65885.0
WI,2019,66348.0
WI,2020,57600.0
WI,2021,64983.0
WI,2022,66167.0
WI,2023,67248.0
WV,2003,19616.5069302774
WV,2004,20122.61483302149
WV,2005,20289.844644947672
WV,2006,20457.407029656206
WV,2007,20564.0
WV,2008,20774.0
WV,2009,19606.0
WV,2010,19203.0
WV,2011,18963.0
WV,2012,19226.0
WV,2013,19232.0
WV,2014,19117.0
WV,2015,19827.0
WV,2016,19539.0
WV,2017,19072.0
WV,2018,19447.0
WV,2019,19077.0
WV,2020,16054.0
WV,2021,16079.0
WV,2022,15312.0
WV,2023,15962.0
WY,2003,8934.458466688297
WY,2004,9164.968416946083
WY,2005,9241.134261066907
WY,2006,9317.451577502434
WY,2007,9366.0
WY,2008,9447.0
WY,2009,9568.0
WY,2010,9363.0
WY,2011,9245.0
WY,2012,9271.0
WY,2013,9309.0
WY,2014,9457.0
WY,2015,9597.0
WY,2016,9323.0
WY,2017,9785.0
WY,2018,10438.0
WY,2019,10208.0
WY,2020,9800.0
WY,2021,11097.0
WY,2022,9324.0
WY,2023,9519.0
