topic_key,state_name,state_abbrev,effective_date,year,change_text
beer_tax,Kansas,KS,7/1/2010,2010,Policy change
beer_tax,Kentucky,KY,6/1/2018,2018,Multiple changes
beer_tax,Kentucky,KY,6/1/2017,2017,Multiple changes
beer_tax,Kentucky,KY,6/1/2016,2016,Policy change
beer_tax,Kentucky,KY,7/1/2015,2015,Policy change
beer_tax,Kentucky,KY,6/1/2005,2005,Policy change
beer_tax,Louisiana,LA,4/1/2016,2016,Specific excise tax per gallon increased
beer_tax,Maine,ME,10/1/2013,2013,Ad valorem on-site tax per increased
beer_tax,Maryland,MD,7/1/2011,2011,Policy change
beer_tax,Minnesota,MN,1/1/2006,2006,Multiple Changes
beer_tax,Nebraska,NE,7/1/2003,2003,Specific excise tax per gallon increased
beer_tax,Nevada,NV,8/1/2003,2003,Specific excise tax per gallon increased
beer_tax,New York,NY,5/1/2009,2009,Specific excise tax per gallon increased
beer_tax,New York,NY,9/1/2003,2003,Policy change
beer_tax,North Carolina,NC,9/1/2009,2009,Specific excise tax per gallon increased
beer_tax,Oklahoma,OK,10/1/2018,2018,Ad valorem on-site tax added
beer_tax,Rhode Island,RI,7/1/2013,2013,Specific excise tax per gallon increased
beer_tax,Tennessee,TN,7/1/2013,2013,Specific excise tax per gallon increased
beer_tax,Texas,TX,1/1/2014,2014,Policy change
beer_tax,Utah,UT,11/1/2019,2019,Policy change
beer_tax,Vermont,VT,10/1/2003,2003,Ad valorem on-site per gallon decreased
beer_tax,Washington,WA,12/8/2011,2011,Other Change
