state_abbrev,year,teen_current_alcohol_use_pct,teen_binge_pct,teen_source,coverage_flag
WV,2007,43.5385,,YRBS_Socrata,observed
WV,2009,40.4104,,YRBS_Socrata,observed
WV,2011,34.3009,,YRBS_Socrata,observed
WV,2013,37.1407,,YRBS_Socrata,observed
WV,2015,31.0517,,YRBS_Socrata,observed
WV,2017,27.8678,14.2735,YRBS_Socrata,observed
WV,2019,,,YRBS_Explorer,missing_no_state_data
WV,2021,,,YRBS_Explorer,missing_no_state_data
WV,2023,,,YRBS_Explorer,missing_no_state_data
WY,1995,52.1361,,YRBS_Socrata,observed
WY,1997,55.0209,,YRBS_Socrata,observed
WY,1999,54.8229,,YRBS_Socrata,observed
WY,2001,51.2966,,YRBS_Socrata,observed
WY,2003,49.0159,,YRBS_Socrata,observed
WY,2005,45.3947,,YRBS_Socrata,observed
WY,2007,42.3779,,YRBS_Socrata,observed
WY,2009,41.6509,,YRBS_Socrata,observed
WY,2011,36.0571,,YRBS_Socrata,observed
WY,2013,34.4442,,YRBS_Socrata,observed
WY,2015,30.9638,,YRBS_Socrata,observed
WY,2019,,,YRBS_Explorer,missing_no_state_data
WY,2021,,,YRBS_Explorer,missing_no_state_data
WY,2023,,,YRBS_Explorer,missing_no_state_data
